danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Hit
0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,198960,4,1.0
0.74,0.558,8,-8.115,1,0.102,0.566,0.0,0.112,0.421,140.057,220880,4,1.0
0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4,1.0
0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947,4,1.0
0.716,0.805,4,-3.839,1,0.0856,0.014,3.1e-06,0.291,0.719,142.886,133995,4,1.0
0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,4,1.0
0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263,4,1.0
0.728,0.668,2,-5.02,1,0.126,0.0805,1.49e-05,0.102,0.162,100.537,211440,4,1.0
0.578,0.532,5,-6.636,0,0.066,0.117,8.97e-05,0.143,0.12,159.784,218320,4,1.0
0.748,0.652,7,-3.02,1,0.058,0.208,0.0,0.128,0.431,106.914,184732,4,1.0
0.742,0.432,9,-7.539,0,0.0615,0.984,5.78e-05,0.0796,0.252,148.005,155676,3,1.0
0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213,210773,4,1.0
0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,201707,4,1.0
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,1.0
0.786,0.846,1,-3.468,1,0.0505,0.174,0.0,0.413,0.819,95.005,200480,4,1.0
0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454,4,0.0
0.803,0.724,10,-4.835,1,0.0541,0.112,3.67e-06,0.148,0.496,91.035,174201,4,0.0
0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587,4,0.0
0.707,0.608,8,-4.514,1,0.0548,0.0628,0.0,0.118,0.414,126.121,190476,4,0.0
0.551,0.851,1,-3.277,1,0.197,0.0748,0.0,0.0784,0.1,171.411,297893,4,0.0
0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,228200,4,0.0
0.277,0.394,8,-8.903,1,0.0336,0.423,0.0,0.0952,0.227,86.777,207787,3,0.0
0.699,0.479,1,-7.83,1,0.0919,0.00433,9.58e-05,0.0435,0.462,102.959,204727,4,0.0
0.876,0.55,2,-5.464,1,0.152,0.0227,4.52e-05,0.294,0.557,129.924,201532,4,0.0
0.683,0.53,5,-4.918,0,0.142,0.207,0.0,0.394,0.645,75.016,190428,4,0.0
0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4,0.0
0.686,0.457,11,-8.322,1,0.0468,0.595,0.0,0.105,0.718,150.953,242187,4,0.0
0.882,0.503,11,-6.618,1,0.179,0.224,0.0,0.108,0.176,95.011,175511,4,0.0
